scenario,N,metric,reference,comparator,n_pairs,mean_paired_difference,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_W,p_two_sided,p_signflip,p_holm,p_signflip_holm
uniform,400,p5_rate_Mbps,lns_based,lns_no_refine,30,3.6451096023333336,1.7883414695250002,5.800987900716666,47.0,3.904104232788086e-05,3.999920001599968e-05,0.0012493133544921875,0.0012399752004959902
uniform,400,coverage,lns_based,fixed_initializer_refine,30,0.0006666666666666636,0.00016666666666666682,0.0012499999999999992,0.0,0.03843393023678171,0.0620987580248395,0.6149428837885074,0.9989000219995601
uniform,400,K,lns_based,fixed_initializer_refine,30,-11.866666666666667,-12.7,-10.966666666666667,0.0,1.862645149230957e-09,1.999960000799984e-05,8.940696716308594e-08,0.0009599808003839924
uniform,400,p5_rate_Mbps,lns_based,fixed_initializer_refine,30,-0.14596164133333317,-0.6548797583166667,0.34536137829166624,204.0,0.5698575973510742,0.5923281534369312,1.0,1.0
uniform,400,coverage,lns_based,pso_high_12x16,30,-0.0016666666666666533,-0.0025833333333333116,-0.0009166666666666508,0.0,0.00183932469938724,0.000499990000199996,0.04230446808590652,0.0124997500049999
uniform,400,K,lns_based,pso_high_12x16,30,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
uniform,400,p5_rate_Mbps,lns_based,pso_high_12x16,30,-0.8391020269999998,-2.594799052591667,1.113111127816666,164.0,0.1641840822994709,0.3892922141557169,1.0,1.0
hotspot,400,coverage,lns_based,block_centroid,30,0.0020833333333333186,0.0009166666666666582,0.0035833333333333086,0.0,0.001079983179644933,0.00033999320013599726,0.02915954585041319,0.00883982320353593
hotspot,400,K,lns_based,block_centroid,30,-13.633333333333333,-14.366666666666667,-12.866666666666667,0.0,1.862645149230957e-09,1.999960000799984e-05,8.940696716308594e-08,0.0009599808003839924
hotspot,400,p5_rate_Mbps,lns_based,block_centroid,30,6.046596253666666,5.181200680991668,6.819986746233332,0.0,1.862645149230957e-09,1.999960000799984e-05,8.940696716308594e-08,0.0009599808003839924
hotspot,400,coverage,lns_based,lns_no_refine,30,0.0019166666666666518,0.0009166666666666619,0.0030833333333333155,0.0,0.001079983179644933,0.0002999940001199976,0.02915954585041319,0.008099838003239934
hotspot,400,K,lns_based,lns_no_refine,30,2.3666666666666667,1.5,3.3,18.0,9.037829593418007e-05,1.999960000799984e-05,0.002711348878025402,0.0009599808003839924
hotspot,400,p5_rate_Mbps,lns_based,lns_no_refine,30,5.825681994333332,4.971223179591666,6.6190150280666655,0.0,1.862645149230957e-09,1.999960000799984e-05,8.940696716308594e-08,0.0009599808003839924
hotspot,400,coverage,lns_based,fixed_initializer_refine,30,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
hotspot,400,K,lns_based,fixed_initializer_refine,30,-13.633333333333333,-14.366666666666667,-12.866666666666667,0.0,1.862645149230957e-09,1.999960000799984e-05,8.940696716308594e-08,0.0009599808003839924
hotspot,400,p5_rate_Mbps,lns_based,fixed_initializer_refine,30,0.310860078,-0.5340748551666664,1.1692694015999998,205.0,0.583757072687149,0.496730065398692,1.0,1.0
hotspot,400,coverage,lns_based,pso_high_12x16,30,0.01866666666666666,0.011583333333333319,0.02716666666666667,0.0,8.023700398287105e-06,1.999960000799984e-05,0.00027280581354176156,0.0009599808003839924
