scenario,N,method,metric,mean,sd,ci95_low,ci95_high
corridor,300,gno,time_s,0.0037,0.00053498308,0.0035002565,0.0038997435
corridor,300,kmeans_grid,coverage,0.89144445,0.046259995,0.87417262,0.90871627
corridor,300,kmeans_grid,K,15,0,15,15
corridor,300,kmeans_grid,throughput_Mbps,12720.278,920.25886,12376.686,13063.87
corridor,300,kmeans_grid,mean_user_rate_Mbps,42.400927,3.0675295,41.255621,43.546233
corridor,300,kmeans_grid,p5_rate_Mbps,0.021831684,0.11957706,-0.02281411,0.066477478
corridor,300,kmeans_grid,qos_violation,0.10855555,0.046259995,0.091283728,0.12582738
corridor,300,kmeans_grid,jain_fairness,0.65950332,0.05113907,0.64040982,0.67859682
corridor,300,kmeans_grid,time_s,0.0031,0.00048066047,0.0029205386,0.0032794614
corridor,300,pso_high_12x16,coverage,0.99388889,0.0082621473,0.9908041,0.99697368
corridor,300,pso_high_12x16,K,17.233333,0.81720015,16.92822,17.538447
corridor,300,pso_high_12x16,throughput_Mbps,2955.9012,548.30873,2751.1823,3160.62
corridor,300,pso_high_12x16,mean_user_rate_Mbps,9.8530039,1.8276958,9.1706077,10.5354
corridor,300,pso_high_12x16,p5_rate_Mbps,0.99519985,0.25204286,0.90109607,1.0893036
corridor,300,pso_high_12x16,qos_violation,0.006111111,0.0082621473,0.0030263209,0.0091959011
corridor,300,pso_high_12x16,jain_fairness,0.49463129,0.10038828,0.4571499,0.53211268
corridor,300,pso_high_12x16,time_s,0.25606667,0.036588988,0.24240565,0.26972769
corridor,300,pso_low_3x4,coverage,0.89388889,0.043952982,0.87747842,0.91029936
corridor,300,pso_low_3x4,K,17.233333,0.81720015,16.92822,17.538447
corridor,300,pso_low_3x4,throughput_Mbps,2861.8682,492.09354,2678.1381,3045.5983
corridor,300,pso_low_3x4,mean_user_rate_Mbps,9.5395606,1.6403118,8.9271269,10.151994
corridor,300,pso_low_3x4,p5_rate_Mbps,0.064816319,0.20736193,-0.012605206,0.14223784
corridor,300,pso_low_3x4,qos_violation,0.10611111,0.043952982,0.08970064,0.12252158
corridor,300,pso_low_3x4,jain_fairness,0.41296536,0.084941157,0.38125137,0.44467935
corridor,300,pso_low_3x4,time_s,0.0181,0.0017878903,0.017432466,0.018767534
corridor,300,pso_mid_6x8,coverage,0.95577778,0.029903207,0.94461299,0.96694257
corridor,300,pso_mid_6x8,K,17.233333,0.81720015,16.92822,17.538447
corridor,300,pso_mid_6x8,throughput_Mbps,2772.3713,558.15435,2563.9765,2980.7662
corridor,300,pso_mid_6x8,mean_user_rate_Mbps,9.2412377,1.8605145,8.5465882,9.9358872
corridor,300,pso_mid_6x8,p5_rate_Mbps,0.45198787,0.41312823,0.29774058,0.60623517
corridor,300,pso_mid_6x8,qos_violation,0.044222222,0.029903207,0.033057435,0.055387009
corridor,300,pso_mid_6x8,jain_fairness,0.4394121,0.083618026,0.40819212,0.47063208
corridor,300,pso_mid_6x8,time_s,0.0671,0.0064399079,0.064695569,0.069504431
corridor,400,alns_no_refine,coverage,1,0,1,1
corridor,400,alns_no_refine,K,23.433333,1.2507469,22.966349,23.900317
corridor,400,alns_no_refine,throughput_Mbps,8825.6456,488.21279,8643.3644,9007.9268
corridor,400,alns_no_refine,mean_user_rate_Mbps,22.064114,1.220532,21.608411,22.519817
corridor,400,alns_no_refine,p5_rate_Mbps,8.8292207,1.7240756,8.1855125,9.4729288
corridor,400,alns_no_refine,qos_violation,0,0,0,0
corridor,400,alns_no_refine,jain_fairness,0.80508056,0.055615635,0.78431567,0.82584544
corridor,400,alns_no_refine,time_s,0.073633333,0.0031784114,0.072446628,0.074820038
corridor,400,alns_sca_lite,coverage,1,0,1,1
corridor,400,alns_sca_lite,K,23.733333,1.1121068,23.318112,24.148554
