factor,level,seed,coverage,K,throughput_Mbps,p5_rate_Mbps,jain_fairness,time_s
capacity_users,30,20008,1.00000000,28,25337.47441609,17.09275171,0.77676529,0.07600000
capacity_users,30,20009,1.00000000,23,28251.94422680,17.96591576,0.75749654,0.06900000
capacity_users,30,20010,1.00000000,26,28342.50180416,16.27545070,0.77653926,0.07300000
capacity_users,30,20011,1.00000000,23,6340.53418894,1.50430682,0.51302567,0.07700000
capacity_users,30,20012,1.00000000,24,27452.80154738,16.28193378,0.76320563,0.07100000
capacity_users,30,20013,1.00000000,24,27745.46616782,15.21898051,0.76130834,0.07000000
capacity_users,30,20014,1.00000000,25,30041.72635741,18.62512329,0.78773298,0.07400000
capacity_users,30,20015,1.00000000,26,26238.74728619,17.54208126,0.78342143,0.07600000
capacity_users,30,20016,1.00000000,28,27756.62144767,17.80567119,0.76550373,0.07200000
capacity_users,30,20017,1.00000000,25,27653.24556926,17.88175534,0.78419880,0.07500000
capacity_users,30,20018,1.00000000,25,27457.69178624,15.63054392,0.77716300,0.07800000
capacity_users,30,20019,1.00000000,27,27511.92935315,19.53051473,0.78445509,0.07600000
capacity_users,30,20020,1.00000000,25,28503.68067823,17.45020880,0.77117859,0.08000000
capacity_users,30,20021,1.00000000,25,29094.50220102,18.96209842,0.78779388,0.07800000
capacity_users,30,20022,1.00000000,23,25091.30145460,12.24894995,0.74271170,0.07600000
capacity_users,30,20023,1.00000000,27,27717.60569896,18.78881299,0.79691393,0.07700000
capacity_users,30,20024,1.00000000,26,28436.84795584,18.08697723,0.78647423,0.07600000
capacity_users,30,20025,1.00000000,28,27177.50311369,16.52768400,0.77050332,0.07800000
capacity_users,30,20026,1.00000000,25,26523.56826431,17.71292113,0.78611271,0.07800000
capacity_users,30,20027,1.00000000,24,26904.89390394,17.41346799,0.77248265,0.07400000
capacity_users,30,20028,1.00000000,23,27586.27294750,13.95367185,0.73687703,0.07700000
capacity_users,30,20029,1.00000000,22,28332.24696064,15.07572468,0.77968709,0.14600000
fleet_cost_lambda_k,25,20000,0.99500000,25,5038.29399539,1.55376581,0.54579649,0.08600000
fleet_cost_lambda_k,25,20001,1.00000000,27,4942.02267439,1.49915636,0.48315099,0.09700000
fleet_cost_lambda_k,25,20002,1.00000000,32,4485.72724714,2.15277889,0.61260377,0.10600000
fleet_cost_lambda_k,25,20003,0.99000000,26,6293.81663297,1.45834224,0.46483927,0.09600000
fleet_cost_lambda_k,25,20004,1.00000000,33,27025.77953167,17.47776141,0.79220754,0.09100000
fleet_cost_lambda_k,25,20005,0.99750000,32,10192.57920653,2.74560057,0.58558610,0.09800000
fleet_cost_lambda_k,25,20006,1.00000000,30,5284.62242472,2.27639469,0.51482272,0.13100000
fleet_cost_lambda_k,25,20007,0.99750000,28,25252.31663671,13.26936320,0.75216133,0.12500000
fleet_cost_lambda_k,25,20008,1.00000000,32,9700.46968196,3.34705235,0.61634017,0.10100000
fleet_cost_lambda_k,25,20009,1.00000000,26,4671.20191266,1.69851161,0.51671061,0.09200000
fleet_cost_lambda_k,25,20010,1.00000000,33,18374.48496734,9.54188275,0.67676060,0.09500000
fleet_cost_lambda_k,25,20011,1.00000000,24,5283.71474140,1.13096034,0.41761328,0.09400000
fleet_cost_lambda_k,25,20012,1.00000000,32,9890.59616068,2.38505160,0.55871633,0.10700000
fleet_cost_lambda_k,25,20013,1.00000000,25,5134.59087110,2.93672659,0.55393900,0.10000000
fleet_cost_lambda_k,25,20014,1.00000000,32,12746.97842328,3.99871975,0.67014572,0.09500000
fleet_cost_lambda_k,25,20015,1.00000000,31,4684.19229481,1.08334960,0.54036319,0.09400000
fleet_cost_lambda_k,25,20016,1.00000000,28,9659.00112852,2.26622204,0.57428303,0.08700000
fleet_cost_lambda_k,25,20017,1.00000000,31,5331.33551290,2.00072586,0.54950919,0.08800000
fleet_cost_lambda_k,25,20018,1.00000000,27,25660.68696678,14.84988111,0.76762749,0.08500000
fleet_cost_lambda_k,25,20019,1.00000000,31,8124.05573735,2.20053583,0.57745132,0.08900000
fleet_cost_lambda_k,25,20020,0.99750000,27,5673.34657265,1.48580639,0.52811395,0.08400000
fleet_cost_lambda_k,25,20021,1.00000000,28,26838.11607076,17.33272785,0.77394815,0.08000000
fleet_cost_lambda_k,25,20022,1.00000000,30,9853.99828928,3.10553668,0.60894631,0.08800000
fleet_cost_lambda_k,25,20023,1.00000000,28,18245.11167185,9.85830332,0.67946402,0.07900000
fleet_cost_lambda_k,25,20024,0.99750000,33,5440.73419882,1.39687031,0.53979721,0.08900000
fleet_cost_lambda_k,25,20025,1.00000000,32,4705.84405825,3.04764591,0.50339318,0.08800000
fleet_cost_lambda_k,25,20026,1.00000000,26,5644.33695746,1.73413372,0.49414915,0.07900000
fleet_cost_lambda_k,25,20027,1.00000000,28,6410.27061814,3.19907367,0.49272753,0.07800000
fleet_cost_lambda_k,25,20028,1.00000000,34,9672.77608114,7.16530692,0.62110711,0.08600000
fleet_cost_lambda_k,25,20029,1.00000000,26,4077.05003798,2.68429181,0.54894226,0.08200000
fleet_cost_lambda_k,100,20000,0.99500000,24,4981.86937168,1.54849518,0.54584307,0.07900000
fleet_cost_lambda_k,100,20001,1.00000000,26,4866.71971953,1.49915636,0.47757837,0.08000000
fleet_cost_lambda_k,100,20002,1.00000000,24,4898.61715622,1.41952854,0.58392392,0.07700000
fleet_cost_lambda_k,100,20003,0.99000000,26,6293.81663297,1.45834224,0.46483927,0.08000000
fleet_cost_lambda_k,100,20004,1.00000000,28,27364.82722050,16.34048079,0.79188590,0.07200000
fleet_cost_lambda_k,100,20005,0.99750000,32,10192.57920653,2.74560057,0.58558610,0.08400000
fleet_cost_lambda_k,100,20006,1.00000000,29,12851.95954149,4.27656980,0.66181834,0.07900000
fleet_cost_lambda_k,100,20007,0.99750000,28,25252.31663671,13.26936320,0.75216133,0.07800000
fleet_cost_lambda_k,100,20008,1.00000000,25,9758.80077258,2.87970644,0.63994084,0.07200000
fleet_cost_lambda_k,100,20009,1.00000000,23,4512.97289468,1.64575602,0.52720551,0.07100000
fleet_cost_lambda_k,100,20010,1.00000000,29,19004.83925792,7.12891397,0.67132471,0.07900000
fleet_cost_lambda_k,100,20011,1.00000000,26,5133.72915191,1.07190111,0.40947180,0.08100000
fleet_cost_lambda_k,100,20012,1.00000000,30,9140.24376163,2.60146443,0.57381234,0.08300000
fleet_cost_lambda_k,100,20013,1.00000000,24,5299.44215717,1.99076282,0.52392662,0.08100000
fleet_cost_lambda_k,100,20014,1.00000000,31,12708.43038909,4.05371947,0.66715842,0.08900000
fleet_cost_lambda_k,100,20015,1.00000000,25,4780.35213883,1.17508964,0.50837943,0.08800000
fleet_cost_lambda_k,100,20016,1.00000000,28,9659.00112852,2.26622204,0.57428303,0.08600000
