N,seed,method,status,mip_gap,K,coverage,throughput_Mbps,p5_rate_Mbps,jain_fairness,solve_time_s
200,10104,rahimi_ev_reimplementation,1,0.0909090909090901,11,0.95,5550.640175040575,0,0.575656819205769,3.201682500000004
200,10105,rahimi_ev_reimplementation,1,0.0,10,0.875,5570.351726798375,0,0.5534848664010842,3.5791427999999996
200,10106,rahimi_ev_reimplementation,1,0.9997144570400617,21,1.0,4941.569192698441,9.590555992449598,0.7561307648765072,3.0640400000000056
200,10107,rahimi_ev_reimplementation,1,0.9997620350760298,23,1.0,5778.252211950759,11.358244436094312,0.7921647001679478,3.0143467000000044
200,10108,rahimi_ev_reimplementation,1,0.9997298903354762,22,1.0,5171.951535334015,11.14463827233111,0.6907660934539496,3.0417984999999987
200,10109,rahimi_ev_reimplementation,1,0.9997960057934354,21,1.0,5234.021261033321,11.320320235555466,0.673654118351029,3.1301624999999973
200,10110,rahimi_ev_reimplementation,1,0.9991683300066534,24,1.0,5562.0753614968,11.546304871351401,0.7009741895171133,3.139750300000003
200,10111,rahimi_ev_reimplementation,1,0.999677658511427,23,1.0,5600.217794833554,10.94293209172063,0.6668037826224837,3.1086356999999936
200,10112,rahimi_ev_reimplementation,1,0.9996431247992577,21,1.0,5253.091855567722,10.251708703656359,0.6821445422818471,3.097047499999988
200,10113,rahimi_ev_reimplementation,1,0.9996877341993505,24,1.0,4406.580182819177,7.219832749001159,0.6871508612214007,3.0248063000000087
200,10114,rahimi_ev_reimplementation,1,0.9997960141158232,23,1.0,4009.953042944947,8.909011812934803,0.6568438699192186,3.08257549999999
200,10115,rahimi_ev_reimplementation,1,0.999092805951193,23,1.0,5527.559024814266,11.621218029557957,0.7106319695121552,3.069640899999996
200,10116,rahimi_ev_reimplementation,1,0.9994742929239827,22,1.0,5051.4480710069465,7.975175311999648,0.6814993177017324,3.0520865000000015
200,10117,rahimi_ev_reimplementation,1,0.0,10,0.935,6767.701675998414,0,0.5850216110106358,4.126250200000015
200,10118,rahimi_ev_reimplementation,0,0.0,10,0.84,4849.679900467478,0,0.3526975480692178,2.943849400000005
200,10119,rahimi_ev_reimplementation,1,0.09090909090909091,11,0.945,5163.614340726468,0,0.48934999901177634,3.087923699999976
200,10120,rahimi_ev_reimplementation,1,0.9997827126157055,22,1.0,6126.757971303186,8.449307316075265,0.6651675565344338,3.0108610000000056
200,10121,rahimi_ev_reimplementation,1,0.0,10,0.9,6231.64597713609,0,0.44296709459745354,4.1816393000000005
200,10122,rahimi_ev_reimplementation,0,0.0,10,0.94,5363.707470876282,0,0.5883255104768856,2.8772345000000144
200,10123,rahimi_ev_reimplementation,1,0.0,10,0.865,7739.379808642568,0,0.5209569668873577,3.5771904000000063
200,10124,rahimi_ev_reimplementation,1,0.0,10,0.875,5146.354796210816,0,0.4049150838892877,3.4890114000000096
200,10125,rahimi_ev_reimplementation,1,0.09090909090909075,11,0.92,5430.071692771048,0,0.4330287782277934,3.2851118999999755
200,10126,rahimi_ev_reimplementation,0,0.0,10,0.835,5140.976933544473,0,0.4675618053027623,2.8455449000000215
200,10127,rahimi_ev_reimplementation,1,0.0,10,0.95,6400.702958674288,0,0.568334564153371,4.2400959
200,10128,rahimi_ev_reimplementation,0,0.0,10,0.92,6885.423173967779,0,0.5400674084364413,2.8736294999999927
200,10129,rahimi_ev_reimplementation,1,0.0,10,0.92,4734.83362908444,0,0.43792585425284203,5.039950199999993
