scenario,N,seed,method,coverage,K,throughput_Mbps,mean_user_rate_Mbps,p5_rate_Mbps,qos_violation,jain_fairness,time_s
four_cluster,100,10008,alns_no_refine,1.00000000,6,4063.51572697,40.63515727,1.97758723,0.00000000,0.55779937,0.00700000
four_cluster,100,10008,fixed_gno_refine,1.00000000,10,8529.87571046,85.29875710,22.52713156,0.00000000,0.75954123,0.01700000
four_cluster,100,10008,alns_sca_lite,1.00000000,7,6315.01068076,63.15010681,14.71497192,0.00000000,0.65777646,0.02300000
four_cluster,100,10008,pso_low_3x4,1.00000000,7,4755.42069307,47.55420693,6.24172746,0.00000000,0.58255785,0.00600000
four_cluster,100,10008,pso_mid_6x8,1.00000000,7,7699.09567528,76.99095675,16.43798675,0.00000000,0.55724770,0.02100000
four_cluster,100,10008,pso_high_12x16,1.00000000,7,9140.09558279,91.40095583,21.22986196,0.00000000,0.66300695,0.06700000
four_cluster,100,10009,kmeans_grid,0.91000000,5,11199.63745330,111.99637453,0.00000000,0.09000000,0.63654770,0.00500000
four_cluster,100,10009,gno,1.00000000,10,4186.20021946,41.86200219,13.05867181,0.00000000,0.64025588,0.00200000
four_cluster,100,10009,alns_no_refine,1.00000000,6,5432.70383345,54.32703833,0.99126412,0.00000000,0.57848748,0.00800000
four_cluster,100,10009,fixed_gno_refine,1.00000000,10,7638.84956250,76.38849563,13.00583791,0.00000000,0.70678834,0.01400000
four_cluster,100,10009,alns_sca_lite,1.00000000,7,9450.44499816,94.50444998,16.45277924,0.00000000,0.73480899,0.01900000
four_cluster,100,10009,pso_low_3x4,1.00000000,7,3495.05817560,34.95058176,9.19055460,0.00000000,0.62890739,0.00700000
four_cluster,100,10009,pso_mid_6x8,1.00000000,7,8358.99317321,83.58993173,18.70764340,0.00000000,0.56665536,0.01900000
four_cluster,100,10009,pso_high_12x16,1.00000000,7,8528.45497894,85.28454979,16.55752279,0.00000000,0.58941315,0.06600000
four_cluster,100,10010,kmeans_grid,0.96000000,5,9700.49677619,97.00496776,0.73232576,0.04000000,0.64718648,0.00100000
four_cluster,100,10010,gno,1.00000000,10,2512.18581738,25.12185817,5.08856337,0.00000000,0.70667838,0.00200000
four_cluster,100,10010,alns_no_refine,1.00000000,7,3661.20256555,36.61202566,1.77415276,0.00000000,0.52858615,0.00900000
four_cluster,100,10010,fixed_gno_refine,1.00000000,10,8068.64479605,80.68644796,22.04852088,0.00000000,0.75950697,0.01300000
four_cluster,100,10010,alns_sca_lite,1.00000000,7,6198.46668571,61.98466686,14.05215649,0.00000000,0.57269606,0.01900000
four_cluster,100,10010,pso_low_3x4,0.99000000,7,6317.40625005,63.17406250,4.23278180,0.01000000,0.48911018,0.00700000
four_cluster,100,10010,pso_mid_6x8,1.00000000,7,5956.99493386,59.56994934,4.36766417,0.00000000,0.62652177,0.02300000
four_cluster,100,10010,pso_high_12x16,1.00000000,7,8922.10507432,89.22105074,13.38881343,0.00000000,0.64432718,0.07400000
four_cluster,100,10011,kmeans_grid,0.83000000,5,8510.21996735,85.10219967,0.00000000,0.17000000,0.55769603,0.00100000
four_cluster,100,10011,gno,1.00000000,10,3929.67012302,39.29670123,7.32929822,0.00000000,0.64452668,0.00200000
four_cluster,100,10011,alns_no_refine,1.00000000,6,4913.66067367,49.13660674,4.28427233,0.00000000,0.58703659,0.00600000
four_cluster,100,10011,fixed_gno_refine,1.00000000,10,6768.68103273,67.68681033,11.91257354,0.00000000,0.69362799,0.01500000
four_cluster,100,10011,alns_sca_lite,1.00000000,6,7956.52184163,79.56521842,15.83021123,0.00000000,0.66648347,0.01900000
four_cluster,100,10011,pso_low_3x4,0.99000000,6,7873.70007687,78.73700077,1.62304249,0.01000000,0.43921561,0.00500000
four_cluster,100,10011,pso_mid_6x8,1.00000000,6,7450.17564122,74.50175641,15.24011233,0.00000000,0.54484454,0.01500000
four_cluster,100,10011,pso_high_12x16,1.00000000,6,10546.50467692,105.46504677,17.46570970,0.00000000,0.58833421,0.06700000
four_cluster,100,10012,kmeans_grid,0.75000000,5,6911.58027937,69.11580279,0.00000000,0.25000000,0.41907853,0.00400000
four_cluster,100,10012,gno,1.00000000,10,2622.31802119,26.22318021,8.70066119,0.00000000,0.68684369,0.00200000
